time(UTC),T2m ,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060105:0100,20.4,69.8,0.0,-0.0,0.0,309.2,4.9,323.0,101642.0
20060105:0200,20.39,69.35,0.0,-0.0,0.0,0.75,4.76,323.0,101662.0
20060105:0300,20.37,69.15,0.0,-0.0,0.0,0.4,4.41,321.0,101642.0
20060105:0400,20.34,68.65,0.0,-0.0,0.0,0.0,4.21,321.0,101632.0
20060105:0500,20.31,68.75,0.0,-0.0,0.0,0.0,4.83,324.0,101592.0
20060105:0600,20.27,69.25,0.0,-0.0,0.0,3.0,5.52,328.0,101552.0
20060105:0700,20.23,69.7,0.0,-0.0,0.0,0.35,5.66,332.0,101512.0
20060105:0800,20.14,69.75,0.0,-0.0,0.0,1.2,5.17,337.0,101482.0
20060105:0900,20.04,69.8,0.0,-0.0,0.0,3.55,4.76,339.0,101432.0
20060105:1000,19.58,70.0,0.0,-0.0,0.0,-3.35,4.21,326.0,101442.0
20060105:1100,19.5,69.5,0.0,-0.0,0.0,3.35,4.0,322.0,101432.0
20060105:1200,19.46,69.1,0.0,-0.0,0.0,0.0,3.66,318.0,101422.0
20060105:1300,19.47,69.4,112.0,396.77,51.0,-0.35,3.45,315.0,101502.0
20060105:1400,19.51,69.65,319.0,684.83,83.0,2.0,3.03,315.0,101532.0
20060105:1500,19.63,69.45,506.0,810.21,100.0,9.0,2.9,314.0,101582.0
20060105:1600,19.71,69.2,643.0,870.13,110.0,-6.8,2.83,311.0,101542.0
20060105:1700,19.79,69.8,716.0,896.69,114.0,6.8,2.83,300.0,101442.0
20060105:1800,19.87,70.4,718.0,895.31,115.0,2.0,3.31,291.0,101332.0
20060105:1900,19.96,71.55,649.0,869.32,111.0,2.0,4.0,286.0,101262.0
20060105:2000,20.11,71.8,517.0,811.87,102.0,-5.0,4.69,284.0,101232.0
20060105:2100,20.26,71.7,336.0,698.85,86.0,3.35,5.24,283.0,101232.0
20060105:2200,20.46,71.15,134.0,473.33,54.0,-2.0,5.24,292.0,101232.0
20060105:2300,20.9,68.55,0.0,-0.0,0.0,10.6,5.24,291.0,101202.0
20060106:0000,21.36,65.5,0.0,-0.0,0.0,-6.0,4.69,285.0,101202.0
20060106:0100,21.71,64.15,0.0,-0.0,0.0,335.65,4.41,277.0,101192.0
20060106:0200,22.01,63.6,0.0,-0.0,0.0,-1.0,4.34,267.0,101182.0
20060106:0300,22.27,63.55,0.0,-0.0,0.0,-3.4,4.97,264.0,101192.0
20060106:0400,22.49,64.2,0.0,-0.0,0.0,0.75,6.34,270.0,101172.0
20060106:0500,22.66,64.1,0.0,-0.0,0.0,16.0,7.93,278.0,101142.0
20060106:0600,22.79,63.8,0.0,-0.0,0.0,10.8,8.34,280.0,101082.0
20060106:0700,22.85,63.6,0.0,-0.0,0.0,8.0,8.83,281.0,101062.0
20060106:0800,22.94,63.05,0.0,-0.0,0.0,7.6,9.03,281.0,101022.0
20060106:0900,23.11,64.2,0.0,-0.0,0.0,-3.6,8.83,280.0,101022.0
20060106:1000,22.27,71.25,0.0,-0.0,0.0,-1.0,8.76,294.0,101022.0
20060106:1100,21.04,79.7,0.0,-0.0,0.0,-2.35,9.52,315.0,101102.0
20060106:1200,20.6,78.45,0.0,-0.0,0.0,10.0,10.97,329.0,101192.0
20060106:1300,20.48,73.2,58.0,32.61,53.0,-2.0,11.45,332.0,101322.0
20060106:1400,20.12,68.65,96.0,0.0,96.0,5.2,11.38,333.0,101392.0
20060106:1500,19.77,65.95,72.0,0.0,72.0,6.4,11.52,332.0,101472.0
20060106:1600,19.63,62.2,408.0,187.49,293.0,-5.2,11.59,324.0,101512.0
20060106:1700,19.59,59.25,381.0,92.18,319.0,-1.35,11.45,316.0,101462.0
20060106:1800,19.44,59.3,496.0,257.71,322.0,-12.6,11.31,312.0,101372.0
20060106:1900,19.42,59.45,323.0,67.64,281.0,-2.8,11.52,309.0,101342.0
20060106:2000,18.99,63.3,272.0,83.75,229.0,-16.8,11.45,310.0,101352.0
20060106:2100,18.46,67.1,203.0,138.82,153.0,5.6,10.55,313.0,101382.0
20060106:2200,18.21,67.0,10.0,0.0,10.0,-0.8,9.03,309.0,101412.0
20060106:2300,18.06,66.3,0.0,-0.0,0.0,-18.8,8.76,312.0,101462.0
20060107:0000,17.95,65.7,0.0,-0.0,0.0,-0.2,8.97,315.0,101532.0
20060107:0100,17.92,65.4,0.0,-0.0,0.0,334.25,8.9,321.0,101592.0
20060107:0200,17.58,66.2,0.0,-0.0,0.0,7.2,9.86,323.0,101662.0
20060107:0300,16.9,69.1,0.0,-0.0,0.0,1.35,10.62,328.0,101762.0
20060107:0400,16.63,70.75,0.0,-0.0,0.0,-0.75,10.28,332.0,101792.0
20060107:0500,16.69,69.8,0.0,-0.0,0.0,-11.8,9.93,332.0,101792.0
20060107:0600,16.54,70.5,0.0,-0.0,0.0,5.4,9.45,335.0,101792.0
20060107:0700,16.42,70.05,0.0,-0.0,0.0,6.6,8.62,338.0,101762.0
20060107:0800,16.42,68.8,0.0,-0.0,0.0,-11.2,8.21,342.0,101772.0
20060107:0900,16.37,68.3,0.0,-0.0,0.0,-6.2,8.0,344.0,101762.0
20060107:1000,16.3,65.65,0.0,-0.0,0.0,20.6,7.66,346.0,101812.0
20060107:1100,16.07,66.8,0.0,-0.0,0.0,-11.2,7.38,346.0,101862.0
20060107:1200,15.95,66.85,0.0,-0.0,0.0,13.2,7.17,350.0,101952.0
20060107:1300,15.82,67.2,68.0,84.96,55.0,1.6,7.17,352.0,102082.0
20060107:1400,15.74,67.4,321.0,690.63,83.0,-6.0,7.24,357.0,102202.0
20060107:1500,15.66,68.15,295.0,133.48,228.0,16.4,7.31,358.0,102301.0
20060107:1600,15.43,70.1,451.0,273.49,283.0,-1.6,7.52,358.0,102321.0
20060107:1700,15.18,71.7,725.0,905.1,115.0,-12.2,7.24,359.0,102281.0
20060107:1800,15.05,71.8,730.0,908.51,115.0,2.0,6.14,360.0,102192.0
20060107:1900,14.92,71.55,663.0,884.46,112.0,-29.6,4.62,357.0,102112.0
20060107:2000,15.02,69.35,532.0,831.73,103.0,4.4,4.21,350.0,102082.0
20060107:2100,15.35,67.65,350.0,725.18,87.0,3.8,4.41,348.0,102092.0
20060107:2200,15.59,65.3,144.0,505.63,56.0,8.2,6.34,351.0,102162.0
20060107:2300,15.74,64.35,0.0,-0.0,0.0,-1.8,6.83,351.0,102232.0
20060108:0000,15.83,63.65,0.0,-0.0,0.0,21.2,6.69,352.0,102251.0
20060108:0100,15.9,63.0,0.0,-0.0,0.0,351.65,6.34,357.0,102311.0
20060108:0200,15.94,62.7,0.0,-0.0,0.0,0.35,6.14,2.0,102331.0
20060108:0300,16.01,61.85,0.0,-0.0,0.0,-4.8,6.07,6.0,102371.0
20060108:0400,16.01,61.6,0.0,-0.0,0.0,-12.6,5.93,10.0,102391.0
20060108:0500,15.98,61.95,0.0,-0.0,0.0,-6.8,5.86,15.0,102371.0
20060108:0600,15.96,62.3,0.0,-0.0,0.0,-0.2,5.72,18.0,102331.0
20060108:0700,15.94,62.2,0.0,-0.0,0.0,9.6,5.59,21.0,102311.0
20060108:0800,15.89,63.0,0.0,-0.0,0.0,10.6,5.17,27.0,102251.0
20060108:0900,15.84,63.85,0.0,-0.0,0.0,-11.4,4.69,38.0,102222.0
20060108:1000,15.53,64.7,0.0,-0.0,0.0,-16.8,3.93,34.0,102271.0
20060108:1100,15.59,63.8,0.0,-0.0,0.0,-1.8,3.79,45.0,102271.0
20060108:1200,15.75,62.65,0.0,-0.0,0.0,-3.6,3.86,56.0,102311.0
20060108:1300,15.98,61.45,113.0,399.28,52.0,-6.2,4.21,60.0,102461.0
20060108:1400,16.26,60.85,324.0,699.07,83.0,-5.6,4.34,63.0,102521.0
20060108:1500,16.61,60.75,513.0,821.9,100.0,-0.35,4.28,64.0,102591.0
20060108:1600,16.89,61.7,654.0,884.16,110.0,3.0,4.28,66.0,102591.0
20060108:1700,17.17,63.15,730.0,910.57,115.0,-2.6,4.41,67.0,102501.0
20060108:1800,17.48,64.7,735.0,911.95,116.0,15.0,4.55,69.0,102401.0
20060108:1900,17.9,65.3,668.0,889.38,112.0,-15.6,4.9,73.0,102311.0
20060108:2000,18.48,64.0,536.0,835.57,103.0,9.2,5.17,74.0,102271.0
20060108:2100,18.83,65.2,353.0,725.59,88.0,7.4,5.59,75.0,102271.0
20060108:2200,18.59,65.85,146.0,509.57,56.0,4.4,5.45,79.0,102271.0
20060108:2300,19.2,63.65,0.0,-0.0,0.0,19.8,5.79,84.0,102321.0
20060109:0000,19.52,63.85,0.0,-0.0,0.0,0.75,6.07,87.0,102341.0
20060109:0100,19.77,64.15,0.0,-0.0,0.0,343.05,6.21,86.0,102411.0
20060109:0200,19.98,64.05,0.0,-0.0,0.0,21.2,6.55,87.0,102441.0
20060109:0300,20.09,64.7,0.0,-0.0,0.0,26.6,6.97,88.0,102461.0
20060109:0400,20.29,64.45,0.0,-0.0,0.0,1.2,7.38,89.0,102461.0
20060109:0500,20.57,63.9,0.0,-0.0,0.0,-1.0,7.52,93.0,102421.0
20060109:0600,20.83,63.45,0.0,-0.0,0.0,2.2,7.59,99.0,102361.0
20060109:0700,21.08,63.0,0.0,-0.0,0.0,-21.2,7.72,103.0,102331.0
20060109:0800,21.25,62.8,0.0,-0.0,0.0,4.4,7.79,106.0,102291.0
20060109:0900,21.35,63.1,0.0,-0.0,0.0,7.0,7.79,106.0,102261.0
20060109:1000,21.43,62.55,0.0,-0.0,0.0,9.0,6.83,108.0,102321.0
20060109:1100,21.56,62.25,0.0,-0.0,0.0,1.0,6.76,110.0,102321.0
20060109:1200,21.8,61.45,0.0,-0.0,0.0,8.6,6.69,111.0,102361.0
20060109:1300,21.95,61.25,109.0,386.58,50.0,-1.8,6.55,109.0,102411.0
20060109:1400,22.12,61.1,314.0,672.52,82.0,6.2,6.48,106.0,102501.0
20060109:1500,22.33,60.75,500.0,796.99,99.0,-6.4,6.62,100.0,102551.0
20060109:1600,22.54,60.9,638.0,859.87,108.0,-1.75,6.76,93.0,102551.0
20060109:1700,22.71,61.35,713.0,886.36,113.0,5.0,6.9,88.0,102491.0
20060109:1800,22.77,62.25,719.0,888.81,114.0,3.4,6.9,83.0,102381.0
20060109:1900,22.76,64.15,654.0,867.07,110.0,-13.2,7.17,81.0,102301.0
20060109:2000,22.7,66.1,525.0,812.39,102.0,6.0,7.52,79.0,102232.0
20060109:2100,22.63,67.75,199.0,114.18,157.0,1.15,8.07,79.0,102212.0
20060109:2200,22.82,66.5,144.0,490.95,56.0,-7.6,8.41,81.0,102241.0
20060109:2300,22.83,66.5,0.0,-0.0,0.0,-13.2,8.83,82.0,102241.0
20060110:0000,22.82,66.65,0.0,-0.0,0.0,-2.6,8.97,83.0,102281.0
20060110:0100,22.91,65.85,0.0,-0.0,0.0,371.25,8.97,84.0,102321.0
20060110:0200,22.91,66.0,0.0,-0.0,0.0,-4.4,8.97,82.0,102361.0
20060110:0300,22.8,68.2,0.0,-0.0,0.0,18.2,8.97,79.0,102361.0
20060110:0400,22.87,68.15,0.0,-0.0,0.0,3.35,9.1,81.0,102371.0
20060110:0500,23.01,67.85,0.0,-0.0,0.0,8.6,8.69,84.0,102301.0
